,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,opponent
4381,Driving Finger Roll Layup Shot,Layup,22,20800904,34.0443,0,0,-118.2698,8,1,0,2008-09,54,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/3/2009,MEM
4382,Jump Shot,Jump Shot,364,20300403,33.9473,-138,97,-118.4078,0,3,0,2003-04,39,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/25/2003,HOU
4383,Jump Shot,Jump Shot,336,20700222,33.8123,-181,232,-118.4508,4,3,0,2007-08,16,29,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/29/2007,DEN
4384,Driving Layup Shot,Layup,130,20900172,34.0443,0,0,-118.2698,10,2,0,2009-10,20,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/19/2009,CHI
4385,Jump Shot,Jump Shot,256,21500253,33.8643,86,180,-118.1838,0,2,0,2015-16,40,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/29/2015,IND
4386,Jump Shot,Jump Shot,315,20300952,33.8113,-92,233,-118.3618,5,3,0,2003-04,41,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,3/13/2004,CHI
4387,Jump Shot,Jump Shot,127,40500151,33.8963,125,148,-118.1448,9,2,1,2005-06,20,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/23/2006,PHX
4388,Layup Shot,Layup,474,20100143,34.0443,0,0,-118.2698,3,4,0,2001-02,41,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/18/2001,SAC
4389,Jump Shot,Jump Shot,159,20400126,33.9783,-94,66,-118.3638,6,2,0,2004-05,40,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/19/2004,PHX
4390,Jump Shot,Jump Shot,235,21500135,33.8303,-145,214,-118.4148,1,2,0,2015-16,34,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/13/2015,DAL
4391,Jump Shot,Jump Shot,153,20100143,33.9033,94,141,-118.1758,8,2,0,2001-02,17,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/18/2001,SAC
4392,Jump Shot,Jump Shot,265,20000019,33.9173,134,127,-118.1358,9,3,0,2000-01,4,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/1/2000,UTA
4393,Jump Shot,Jump Shot,37,20000379,33.9283,140,116,-118.1298,7,1,0,2000-01,27,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/22/2000,DAL
4394,Fadeaway Bank shot,Jump Shot,318,40700222,34.0363,-120,8,-118.3898,4,3,1,2007-08,38,12,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,5/7/2008,UTA
4395,Pullup Jump shot,Jump Shot,128,20900648,33.8003,-29,244,-118.2988,10,2,0,2009-10,30,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1/24/2010,TOR
4396,Turnaround Fadeaway shot,Jump Shot,67,21200733,33.9703,77,74,-118.1928,5,1,0,2012-13,24,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,2/7/2013,BOS
4397,Layup Shot,Layup,206,20900066,34.0443,0,0,-118.2698,3,2,0,2009-10,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/4/2009,HOU
4398,Driving Layup Shot,Layup,322,20900146,34.0443,0,0,-118.2698,7,3,0,2009-10,3,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/15/2009,HOU
4399,Jump Shot,Jump Shot,404,29901171,33.8783,-72,166,-118.3418,4,4,0,1999-00,9,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/18/2000,DAL
4400,Jump Shot,Jump Shot,281,20200769,33.9143,-154,130,-118.4238,5,3,0,2002-03,43,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2/18/2003,HOU
4401,Dunk Shot,Dunk,37,20200223,34.0443,0,0,-118.2698,7,1,0,2002-03,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/29/2002,MEM
4402,Jump Shot,Jump Shot,131,40800404,33.9153,-155,129,-118.4248,0,1,1,2008-09,19,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,6/11/2009,ORL
4403,Jump Shot,Jump Shot,355,20800782,33.9043,-101,140,-118.3708,2,3,0,2008-09,31,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2/11/2009,UTA
4404,Jump Shot,Jump Shot,67,21501172,34.0553,240,-11,-118.0298,4,1,0,2015-16,46,24,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,4/6/2016,LAC
4405,Layup Shot,Layup,425,20900363,34.0443,0,0,-118.2698,10,4,0,2009-10,26,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/16/2009,MIL
4406,Turnaround Jump Shot,Jump Shot,258,20000397,33.9073,5,137,-118.2648,9,3,0,2000-01,39,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,12/25/2000,POR
4407,Jump Shot,Jump Shot,364,20701098,33.9423,28,102,-118.2418,9,4,0,2007-08,42,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,3/30/2008,WAS
4408,Jump Shot,Jump Shot,198,21100604,33.9963,-15,48,-118.2848,4,2,0,2011-12,9,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,3/11/2012,BOS
4409,Jump Shot,Jump Shot,129,20900527,34.0253,185,19,-118.0848,7,2,0,2009-10,49,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/8/2010,POR
4410,Jump Shot,Jump Shot,375,29600623,33.8473,-127,197,-118.3968,6,4,0,1996-97,54,23,1,3PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1/29/1997,SAS
4411,Jump Shot,Jump Shot,388,20600504,33.9073,92,137,-118.1778,6,4,0,2006-07,29,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1/7/2007,DAL
4412,Jump Shot,Jump Shot,252,20400145,33.8833,-128,161,-118.3978,1,2,0,2004-05,9,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/21/2004,CHI
4413,Jump Shot,Jump Shot,200,20500591,34.0033,57,41,-118.2128,3,2,0,2005-06,57,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1/22/2006,TOR
4414,Driving Layup Shot,Layup,459,29700693,34.0443,0,0,-118.2698,8,4,0,1997-98,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2/10/1998,POR
4415,Jump Shot,Jump Shot,36,20200743,33.8933,125,151,-118.1448,6,1,0,2002-03,19,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2/14/2003,SAS
4416,Fadeaway Jump Shot,Jump Shot,207,20901099,34.0223,-166,22,-118.4358,1,2,0,2009-10,20,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,3/29/2010,NOH
4417,Driving Layup Shot,Layup,264,29900878,34.0443,0,0,-118.2698,9,3,0,1999-00,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/9/2000,GSW
4418,Jump Shot,Jump Shot,191,29800186,34.0413,136,3,-118.1338,3,2,0,1998-99,57,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2/28/1999,HOU
4419,Jump Shot,Jump Shot,341,21100313,33.8253,144,219,-118.1258,1,3,0,2011-12,5,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1/31/2012,CHA
4420,Jump Shot,Jump Shot,257,21500747,33.8903,123,154,-118.1468,0,2,0,2015-16,45,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2/4/2016,NOP
4421,Slam Dunk Shot,Dunk,323,20400073,34.0443,0,0,-118.2698,2,3,0,2004-05,31,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/2004,ORL
4422,Jump Shot,Jump Shot,13,29800130,33.8733,-100,171,-118.3698,10,1,0,1998-99,51,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2/21/1999,SEA
4423,Running Jump Shot,Jump Shot,7,20301063,33.9753,-2,69,-118.2718,11,1,0,2003-04,4,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,3/28/2004,UTA
4424,Jump Shot,Jump Shot,16,29600623,33.9343,97,110,-118.1728,10,1,0,1996-97,41,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1/29/1997,SAS
4425,Driving Layup Shot,Layup,153,49700014,34.0443,0,0,-118.2698,7,2,1,1997-98,56,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/26/1998,POR
4426,Jump Shot,Jump Shot,30,29800413,33.9253,158,119,-118.1118,8,1,0,1998-99,40,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/28/1999,NYK
4427,Jump Shot,Jump Shot,136,29600590,33.8693,-172,175,-118.4418,10,2,0,1996-97,52,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/24/1997,GSW
4428,Driving Layup Shot,Layup,553,20900935,34.0443,0,0,-118.2698,2,4,0,2009-10,36,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/7/2010,ORL
4429,Jump Shot,Jump Shot,337,20000884,34.0213,-141,23,-118.4108,0,3,0,2000-01,50,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,3/7/2001,TOR
4430,Jump Shot,Jump Shot,297,20700868,33.8073,41,237,-118.2288,2,3,0,2007-08,26,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2/29/2008,POR
4431,Turnaround Jump Shot,Jump Shot,206,20300091,34.0553,169,-11,-118.1008,3,2,0,2003-04,3,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/10/2003,MEM
4432,Jump Shot,Jump Shot,376,29601121,33.8283,88,216,-118.1818,10,4,0,1996-97,3,23,1,3PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/11/1997,PHX
4433,Jump Shot,Jump Shot,242,21500370,33.8443,-88,200,-118.3578,2,2,0,2015-16,2,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,12/15/2015,MIL
4434,Jump Shot,Jump Shot,94,29700500,33.8863,-190,158,-118.4598,0,1,0,1997-98,41,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/11/1998,CHA
4435,Jump Shot,Jump Shot,9,20800390,33.8633,100,181,-118.1698,11,1,0,2008-09,9,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/20/2008,ORL
4436,Jump Shot,Jump Shot,200,20500888,34.0143,-138,30,-118.4078,0,2,0,2005-06,37,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,3/6/2006,SAS
4437,Jump Shot,Jump Shot,299,20700607,33.9403,-136,104,-118.4058,6,3,0,2007-08,26,17,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1/21/2008,DEN
4438,Jump Shot,Jump Shot,39,29800088,33.8603,102,184,-118.1678,7,1,0,1998-99,34,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2/16/1999,CHA
4439,Jump Shot,Jump Shot,396,29700823,34.0413,76,3,-118.1938,6,4,0,1997-98,34,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,3/1/1998,NYK
4440,Jump Shot,Jump Shot,215,40900403,33.8503,4,194,-118.2658,3,2,1,2009-10,6,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,6/8/2010,BOS
4441,Jump Shot,Jump Shot,268,20800821,34.0083,-51,36,-118.3208,0,2,0,2008-09,35,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2/20/2009,NOH
4442,Driving Layup Shot,Layup,255,20500532,34.0373,-16,7,-118.2858,8,3,0,2005-06,52,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1/14/2006,GSW
4443,Jump Shot,Jump Shot,408,40200221,34.0473,-161,-3,-118.4308,6,4,1,2002-03,22,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,5/5/2003,SAS
4444,Fadeaway Jump Shot,Jump Shot,8,40800223,33.8633,-52,181,-118.3218,10,1,1,2008-09,46,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,5/8/2009,HOU
4445,Jump Shot,Jump Shot,52,20700618,33.9063,156,138,-118.1138,5,1,0,2007-08,9,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1/23/2008,SAS
4446,Jump Shot,Jump Shot,88,40700223,33.8573,174,187,-118.0958,0,1,1,2007-08,50,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,5/9/2008,UTA
4447,Layup Shot,Layup,73,21300366,34.0473,0,-3,-118.2698,4,1,0,2013-14,34,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/17/2013,MEM
4448,Jump Shot,Jump Shot,295,20400181,34.0683,-204,-24,-118.4738,5,3,0,2004-05,43,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/26/2004,SAC
4449,Jump Shot,Jump Shot,241,20200820,33.8173,-97,227,-118.3668,10,3,0,2002-03,17,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2/25/2003,LAC
4450,Jump Shot,Jump Shot,25,20500346,33.8863,-112,158,-118.3818,8,1,0,2005-06,20,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,12/18/2005,HOU
4451,Jump Shot,Jump Shot,346,40600153,33.8403,8,204,-118.2618,10,4,1,2006-07,59,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,4/26/2007,PHX
4452,Jump Shot,Jump Shot,253,49900074,33.9083,102,136,-118.1678,6,3,1,1999-00,47,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,6/2/2000,POR
4453,Jump Shot,Jump Shot,219,40100162,33.8883,-105,156,-118.3748,1,2,1,2001-02,45,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/25/2002,POR
4454,Driving Layup Shot,Layup,310,20001136,34.0443,0,0,-118.2698,2,3,0,2000-01,58,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/12/2001,MIN
4455,Layup Shot,Layup,216,21000460,34.0443,13,0,-118.2568,1,2,0,2010-11,49,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/28/2010,SAS
4456,Jump Shot,Jump Shot,500,20800821,33.8963,135,148,-118.1348,2,4,0,2008-09,15,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2/20/2009,NOH
4457,Layup Shot,Layup,321,20500045,34.0443,0,0,-118.2698,5,3,0,2005-06,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/6/2005,DEN
4458,Turnaround Jump Shot,Jump Shot,111,21500422,33.9973,145,47,-118.1248,2,1,0,2015-16,42,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/22/2015,DEN
4459,Jump Shot,Jump Shot,253,21200569,34.0023,179,42,-118.0908,1,2,0,2012-13,32,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/15/2013,MIL
4460,Jump Shot,Jump Shot,118,20700076,33.8373,154,207,-118.1158,0,1,0,2007-08,41,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/9/2007,MIN
4461,Fadeaway Jump Shot,Jump Shot,369,21000208,33.8553,-29,189,-118.2988,2,3,0,2010-11,13,19,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,11/23/2010,CHI
4462,Running Jump Shot,Jump Shot,373,20000180,33.9833,127,61,-118.1428,9,4,0,2000-01,50,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/24/2000,MIN
4463,Jump Shot,Jump Shot,30,29800297,33.8903,-12,154,-118.2818,8,1,0,1998-99,4,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,3/14/1999,SAC
4464,Jump Shot,Jump Shot,383,20601044,33.8633,92,181,-118.1778,1,3,0,2006-07,59,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/25/2007,GSW
4465,Driving Layup Shot,Layup,234,29900409,34.0443,0,0,-118.2698,0,2,0,1999-00,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/29/1999,PHX
4466,Jump Shot,Jump Shot,425,20800589,33.8933,84,151,-118.1858,7,4,0,2008-09,51,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1/16/2009,ORL
4467,Reverse Layup Shot,Layup,117,40100234,34.0443,-1,0,-118.2708,10,2,1,2001-02,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,5/12/2002,SAS
4468,Jump Shot,Jump Shot,175,29900509,34.0283,-68,16,-118.3378,4,2,0,1999-00,10,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1/14/2000,IND
4469,Jump Shot,Jump Shot,13,40900233,33.9533,51,91,-118.2188,10,1,1,2009-10,2,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,5/8/2010,UTA
4470,Jump Shot,Jump Shot,404,29700172,33.9443,-53,100,-118.3228,11,4,0,1997-98,41,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/23/1997,LAC
4471,Layup Shot,Layup,204,20601185,34.0443,0,0,-118.2698,0,2,0,2006-07,43,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/13/2007,PHX
4472,Jump Shot,Jump Shot,68,29700596,33.8453,154,199,-118.1158,4,1,0,1997-98,23,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1/24/1998,SEA
4473,Running Jump Shot,Jump Shot,379,40800143,33.9703,-15,74,-118.2848,1,3,1,2008-09,35,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/23/2009,UTA
4474,Reverse Layup Shot,Layup,225,40200223,34.0293,21,15,-118.2488,1,2,1,2002-03,55,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,5/9/2003,SAS
4475,Jump Shot,Jump Shot,217,20800385,33.8933,132,151,-118.1378,2,2,0,2008-09,3,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/19/2008,MIA
4476,Jump Shot,Jump Shot,446,20500591,34.0413,-195,3,-118.4648,3,4,0,2005-06,55,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1/22/2006,TOR
4477,Driving Layup Shot,Layup,512,21400056,34.0193,1,25,-118.2688,6,4,0,2014-15,10,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/4/2014,PHX
4478,Jump Shot,Jump Shot,92,21000692,33.8473,-161,197,-118.4308,1,1,0,2010-11,26,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/28/2011,SAC
4479,Jump Shot,Jump Shot,44,20200199,33.8573,-166,187,-118.4358,6,1,0,2002-03,4,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/26/2002,MIA
4480,Layup Shot,Layup,48,20700675,34.0443,0,0,-118.2698,6,1,0,2007-08,26,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1/31/2008,DET
4481,Fadeaway Jump Shot,Jump Shot,281,20401228,34.0473,146,-3,-118.1238,6,3,0,2004-05,21,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/20/2005,POR
4482,Jump Shot,Jump Shot,547,20800732,33.8883,-131,156,-118.4008,0,5,0,2008-09,41,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2/5/2009,BOS
4483,Jump Shot,Jump Shot,436,20100320,33.8373,-12,207,-118.2818,7,4,0,2001-02,5,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/14/2001,LAC
4484,Jump Bank Shot,Jump Shot,50,21500767,33.9203,-215,124,-118.4848,7,1,0,2015-16,5,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2/6/2016,SAS
4485,Jump Shot,Jump Shot,465,20800500,34.0443,228,0,-118.0418,4,4,0,2008-09,25,22,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1/4/2009,POR
4486,Tip Shot,Tip Shot,334,29600474,34.0443,0,0,-118.2698,0,3,0,1996-97,0,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1/8/1997,CHA
4487,Jump Shot,Jump Shot,424,29800048,33.8603,179,184,-118.0908,4,4,0,1998-99,27,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2/10/1999,DEN
4488,Jump Shot,Jump Shot,37,21001215,33.8793,-109,165,-118.3788,8,1,0,2010-11,9,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/12/2011,SAS
4489,Jump Shot,Jump Shot,217,20501185,33.9733,33,71,-118.2368,1,2,0,2005-06,28,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/14/2006,POR
4490,Jump Shot,Jump Shot,428,20800267,33.8963,-92,148,-118.3618,4,4,0,2008-09,36,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,12/3/2008,PHI
4491,Jump Shot,Jump Shot,126,20801038,33.7923,1,252,-118.2688,8,2,0,2008-09,37,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,3/21/2009,CHI
4492,Turnaround Jump Shot,Jump Shot,501,20200471,33.9113,-151,133,-118.4208,1,4,0,2002-03,20,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1/4/2003,PHX
4493,Jump Shot,Jump Shot,244,20501229,33.7763,8,268,-118.2618,11,3,0,2005-06,35,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,4/19/2006,NOP
4494,Jump Shot,Jump Shot,81,40100401,34.0143,150,30,-118.1198,1,1,1,2001-02,54,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,6/5/2002,NJN
4495,Turnaround Jump Shot,Jump Shot,60,20501078,34.0343,107,10,-118.1628,6,1,0,2005-06,0,10,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,3/31/2006,SEA
4496,Jump Shot,Jump Shot,128,20900678,33.9773,-51,67,-118.3208,11,2,0,2009-10,7,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1/29/2010,PHI
4497,Jump Shot,Jump Shot,177,20900582,33.9213,88,123,-118.1818,7,2,0,2009-10,5,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1/15/2010,LAC
4498,Jump Shot,Jump Shot,195,21500458,33.8023,-42,242,-118.3118,5,2,0,2015-16,26,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,12/28/2015,CHA
4499,Jump Shot,Jump Shot,499,20601154,33.9043,154,140,-118.1158,3,4,0,2006-07,16,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/9/2007,DEN
4500,Jump Shot,Jump Shot,266,40700143,33.8893,172,155,-118.0978,11,3,1,2007-08,6,23,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/26/2008,DEN
4501,Driving Layup Shot,Layup,286,20300995,34.0443,0,0,-118.2698,10,3,0,2003-04,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/19/2004,LAC
4502,Jump Shot,Jump Shot,292,20600066,33.7843,26,260,-118.2438,5,3,0,2006-07,4,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,11/8/2006,POR
4503,Jump Shot,Jump Shot,9,21100180,33.9563,78,88,-118.1918,10,1,0,2011-12,24,11,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1/14/2012,LAC
4504,Turnaround Jump Shot,Jump Shot,81,20500591,33.9263,62,118,-118.2078,2,1,0,2005-06,20,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1/22/2006,TOR
4505,Jump Shot,Jump Shot,352,29900346,33.8583,89,186,-118.1808,2,3,0,1999-00,19,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/20/1999,BOS
4506,Jump Shot,Jump Shot,318,21500435,34.0283,-169,16,-118.4388,5,3,0,2015-16,47,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/23/2015,OKC
4507,Layup Shot,Layup,181,40800144,34.0443,0,0,-118.2698,5,2,1,2008-09,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/25/2009,UTA
4508,Jump Shot,Jump Shot,272,20001177,34.0463,-141,-2,-118.4108,11,3,0,2000-01,3,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/17/2001,DEN
4509,Jump Shot,Jump Shot,374,21200897,33.8433,-147,201,-118.4168,5,3,0,2012-13,28,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,3/5/2013,OKC
4510,Pullup Jump shot,Jump Shot,153,21500244,33.9443,60,100,-118.2098,7,2,0,2015-16,32,11,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,11/28/2015,POR
4511,Jump Shot,Jump Shot,341,20600809,33.8473,194,197,-118.0758,9,4,0,2006-07,47,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2/21/2007,POR
4512,Turnaround Jump Shot,Jump Shot,318,20801056,33.9483,7,96,-118.2628,4,3,0,2008-09,44,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,3/24/2009,OKC
4513,Layup Shot,Layup,355,20501078,34.0443,0,0,-118.2698,2,3,0,2005-06,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/31/2006,SEA
4514,Jump Shot,Jump Shot,226,20201159,34.0393,-194,5,-118.4638,11,3,0,2002-03,46,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,4/13/2003,POR
4515,Layup Shot,Layup,25,40700222,34.0443,0,0,-118.2698,8,1,1,2007-08,5,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,5/7/2008,UTA
4516,Jump Shot,Jump Shot,419,40200175,33.8683,-168,176,-118.4378,4,4,1,2002-03,44,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/29/2003,MIN
4517,Jump Shot,Jump Shot,58,21000535,33.9133,174,131,-118.0958,3,1,0,2010-11,44,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1/7/2011,NOH
4518,Jump Shot,Jump Shot,360,20800092,33.8133,125,231,-118.1448,1,3,0,2008-09,25,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/9/2008,HOU
4519,Turnaround Jump Shot,Jump Shot,405,20200278,33.9913,-34,53,-118.3038,5,4,0,2002-03,49,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/6/2002,DAL
